Tag,Count
"('addr:street', 'Corporation Walk')",3
"('addr:postcode', '618310')",3
"('addr:housenumber', '161')",3
"('name', 'Outram Park')",3
"('parking:lane:both', 'no')",3
"('turn:lanes', 'none|through;right')",3
"('name', 'Jalan Todak')",3
"('turn:lanes', 'none|through|through|right|right')",3
"('name', 'Braddell Road')",3
"('name', 'Hillview Crescent')",3
"('name', 'Choa Chu Kang North 6')",3
"('highway', 'track')",3
"('name:zh', '亚逸拉惹快速公路')",3
"('turn:lanes', 'left|left;through')",3
"('turn:lanes', 'left|through|through;right|right')",3
"('name', 'Toh Guan Road')",3
"('name', 'Admiralty Road')",3
"('name', 'Holland Avenue')",3
"('indoor', 'yes')",3
"('highway', 'corridor')",3
"('name', 'J-Walk')",3
"('parking:both', 'no')",3
"('name', 'Jalan Asas')",3
"('name', 'Choa Chu Kang North Park Connector')",3
"('name', 'Toh Tuck Terrace')",3
"('sidewalk', 'none')",3
"('turn:lanes', 'through|right|right|right')",3
"('building', 'roof')",3
"('destination:ref:to', 'KPE;PIE')",3
"('crossing', 'unmarked')",3
"('cycleway', 'yes')",3
"('turn:lanes', 'left|through')",3
"('destination:street', 'Punggol Road')",3
"('destination', 'Jurong Town Hall Road')",3
"('name:zh', '蔡厝港北公园连道')",3
"('name:zh', '金文泰3道')",3
"('turn:lanes:forward', 'left;through|through;right')",3
"('name:ms', 'Laluan Downtown')",3
"('name:en', 'Downtown Line')",3
"('name', 'Downtown Line (DT)')",3
"('turn:lanes', 'left|through|through|right|right')",3
"('turn:lanes', 'left;through|slight_left;slight_right|through|through')",3
"('layer', '-2')",3
"('name:zh', '成保路')",3
"('name:zh', '麦里芝自然小径')",3
"('name', 'MacRitchie Nature Trail')",3
"('name', 'Equestrian Walk')",3
"('name', 'Jurong West Avenue 2')",3
"('name', 'Seng Poh Road')",3
"('name:zh', '金殿路')",3
"('name', 'Boon Lay Drive')",3
"('name', 'Boon Lay Place')",3
"('name', 'Kim Tian Road')",3
"('frequency', '0')",3
"('name', 'Sungei Kadut Way')",3
"('destination', 'Ang Mo Kio Avenue 3;Ang Mo Kio Avenue 1')",3
"('electrified', 'rail')",3
"('colour', '#0354A6')",3
"('natural', 'grassland')",3
"('alt_name', 'Downtown Line Stage 3')",3
"('lanes:backward', '3')",3
"('check_date:handrail', '2023-05-28')",3
"('gauge', '1435')",3
"('turn:lanes:forward', 'left|through')",3
"('name:zh', '滨海市区线')",3
"('voltage', '750')",3
"('destination', 'PIE')",3
"('name', 'Yio Chu Kang Gardens')",3
"('destination:ref:to', 'KJE')",3
"('destination', 'Pioneer Road North')",3
"('ref', 'DTL')",3
"('railway', 'subway')",3
"('note', 'colour on wikipedia seems to be #005ec4 though')",3
"('name:zh', '威莎路')",3
"('turn:lanes:backward', 'left;through|through;right')",3
"('building', 'university')",3
"('name', 'Wishart Road')",3
"('name', 'Lorong Halus')",3
"('turn:lanes:forward', 'right')",3
"('start_date', '1983')",2
"('name', 'Pelton Canal Park Connector')",2
"('loc_name:zh', '大坡二马路')",2
"('turn:lanes:backward', 'left|left')",2
"('surface', 'dirt')",2
"('addr:housenumber', '14')",2
"('was:highway', 'path')",2
"('surface', 'tartan')",2
"('source', 'Yahoo aerial images;GPS & Yahoo aerial images')",2
"('note', 'Between Tanjong Pagar & Woodlands. Closed 1 July 2011, track removed by Sept 2011. Currently opened to public as recreational space')",2
"('name:en', 'New Bridge Road')",2
"('name:zh', '新桥路')",2
"('name', 'Orchard 22')",2
"('destination', 'Chin Swee Road')",2
"('bridge:name', 'Lower Delta Flyover')",2
