Tag,Count
"('name:en', 'Lien Ying Chow Drive')",6
"('turn:lanes', 'left|through|through|through|through|right')",6
"('turn:lanes', 'left|through|through;right')",6
"('turn:lanes', 'left;through|through|through;right|right')",6
"('name', 'Yishun Avenue 3')",6
"('name', 'Yishun Avenue 4')",6
"('name', 'Yishun Avenue 9')",6
"('maxheight', '5')",6
"('roof:material', 'concrete')",6
"('name', 'Jalan Batalong')",6
"('name:zh', '海得拉巴路')",6
"('name', 'Jurong Park Connector')",6
"('name:zh', '裕廊公园连道')",6
"('turn:lanes', 'none|right')",6
"('building:part', 'yes')",6
"('turn:lanes:forward', 'right')",6
"('name:zh', '南洋径')",6
"('parking:lane:both', 'parallel')",6
"('name:zh', '加冷河滨公园')",6
"('shop', 'mall')",6
"('turn:lanes', 'left|through|through|through|through;right|right')",6
"('name:en', 'South Bridge Road')",6
"('note', 'Part of route estimated ???')",6
"('fixme:zh', '-')",6
"('name', 'Costus Trail')",6
"('motor_vehicle:conditional', 'no @ (Mo-Fr 15:00 - 1:00, Sa-Su 12:00 - 1:00, PH -1 day-PH 12:00 - 1:00)')",6
"('name', 'Boundary Road')",6
"('name:zh', '曼德里路')",6
"('width', '6')",6
"('name', 'Hyderabad Road')",6
"('level', '-2')",6
"('name', 'Nanyang Walk')",6
"('name:zh', '北波那维斯达路')",6
"('name', 'North Buona Vista Road')",6
"('turn:lanes', 'through;right|right')",6
"('footway', 'yes')",5
"('name', 'Yishun Avenue 11')",5
"('building', 'roof')",5
"('parking:lane:right', 'perpendicular')",5
"('name', 'Stagmont Ring')",5
"('turn:lanes:forward', 'left|right|right')",5
"('turn:lanes', 'left|left|left')",5
"('name', 'Jurong West Street 51')",5
"('name', 'Cassia View')",5
"('name', 'Tampines Central 3')",5
"('landuse', 'construction')",5
"('name', 'Jurong West Street 64')",5
"('destination:ref', 'TPE')",5
"('fee', 'no')",5
"('name', 'Old Airport Road')",5
"('name', 'Tampines Expressway')",5
"('name', 'Pasir Ris Drive 2')",5
"('name', 'Serangoon Garden Circus')",5
"('name', 'Jalan Mariam')",5
"('image', 'https://images.mapillary.com/CVoIvI1nh2LyLM--DCoDog/thumb-2048.jpg')",5
"('name', 'Jurong West Avenue 2')",5
"('fee', 'yes')",5
"('name', 'West Coast Highway')",5
"('mapillary', '312030300325151')",5
"('building:levels', '1')",5
"('name', 'Jurong East Street 11')",5
"('turn:lanes', 'left|left;right')",5
"('description', 'only emergency vehicles, people&bikes allowed')",5
"('turn:lanes', 'left;through|through;right|right')",5
"('addr:street', 'South Buona Vista Road')",5
"('crossing:island', 'no')",5
"('name', 'Choa Chu Kang North Park Connector')",4
"('name', 'Choa Chu Kang Link')",4
"('name:zh', '红砖路')",4
"('name', 'Brickland Road')",4
"('name:en', 'Tengah Link')",4
"('name', 'Choa Chu Kang North 5')",4
"('name:zh', '蔡厝港北公园连道')",4
"('surface', 'ground')",4
"('name', 'Tengah Link')",4
"('name:zh', '登加连路')",4
"('roof:material', 'metal')",4
"('name', 'Yishun Avenue 2')",4
"('name:zh', '义顺2道')",4
"('name:zh', '罗央公园连道')",4
"('name', 'Toh Crescent')",4
"('destination', 'Tampines Expressway')",4
"('destination:ref:to', 'PIE')",4
"('destination:to', 'Pan-Island Expressway')",4
